year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
1990,MASSACHUSETTS,MA,25,7,0,155380,0,NA,NA,NA,NA,155380,1,0,1
1990,MASSACHUSETTS,MA,25,8,0,125479,39310,NA,NA,NA,NA,164789,0.7614525241369267,0.23854747586307337,0.5229050482738533
1990,MASSACHUSETTS,MA,25,9,0,124534,0,NA,NA,NA,NA,124534,1,0,1
1990,MASSACHUSETTS,MA,25,10,0,137805,120217,NA,NA,NA,NA,258022,0.5340823650696452,0.46591763493035476,0.06816473013929047
1990,MASSACHUSETTS,MA,25,11,0,145480,0,NA,NA,NA,NA,145480,1,0,1
1990,MICHIGAN,MI,26,1,0,76556,7298,NA,NA,NA,NA,83854,0.9129677773272593,0.08703222267274072,0.8259355546545186
1990,MICHIGAN,MI,26,2,0,49678,95962,NA,NA,NA,NA,145640,0.34110134578412526,0.6588986542158748,-0.3177973084317495
1990,MICHIGAN,MI,26,3,0,82376,60007,NA,NA,NA,NA,142383,0.5785522148009242,0.4214477851990757,0.1571044296018485
1990,MICHIGAN,MI,26,4,0,55449,75850,NA,NA,NA,NA,131299,0.4223109086893274,0.5776890913106726,-0.15537818262134517
1990,MICHIGAN,MI,26,5,0,41170,126308,NA,NA,NA,NA,167478,0.24582333201972797,0.754176667980272,-0.5083533359605441
1990,MICHIGAN,MI,26,6,0,97547,0,NA,NA,NA,NA,97547,1,0,1
1990,MICHIGAN,MI,26,7,0,90307,41759,NA,NA,NA,NA,132066,0.6838020383747521,0.316197961625248,0.36760407674950407
1990,MICHIGAN,MI,26,8,0,98903,45259,NA,NA,NA,NA,144162,0.6860545774892135,0.3139454225107865,0.372109154978427
1990,MICHIGAN,MI,26,9,0,73604,89078,NA,NA,NA,NA,162682,0.452440958434246,0.5475590415657541,-0.0951180831315081
1990,MICHIGAN,MI,26,10,0,50923,99952,NA,NA,NA,NA,150875,0.33751781275890635,0.6624821872410936,-0.3249643744821873
1990,MICHIGAN,MI,26,11,0,59759,94555,NA,NA,NA,NA,154314,0.3872558549451119,0.6127441450548881,-0.22548829010977617
1990,MICHIGAN,MI,26,12,0,98232,51119,NA,NA,NA,NA,149351,0.6577257601221284,0.3422742398778716,0.31545152024425677
1990,MICHIGAN,MI,26,13,0,54345,11203,NA,NA,NA,NA,65548,0.8290870812229206,0.1709129187770794,0.6581741624458413
1990,MICHIGAN,MI,26,14,0,78506,40499,NA,NA,NA,NA,119005,0.6596865677912693,0.3403134322087307,0.3193731355825386
1990,MICHIGAN,MI,26,15,0,68742,41092,NA,NA,NA,NA,109834,0.6258717701258263,0.37412822987417377,0.2517435402516525
1990,MICHIGAN,MI,26,16,0,88962,42629,NA,NA,NA,NA,131591,0.676049273886512,0.323950726113488,0.352098547773024
1990,MICHIGAN,MI,26,17,0,92205,40100,NA,NA,NA,NA,132305,0.6969124371716866,0.30308756282831334,0.39382487434337327
1990,MICHIGAN,MI,26,18,0,64185,126629,NA,NA,NA,NA,190814,0.3363746894881927,0.6636253105118073,-0.3272506210236146
1990,MINNESOTA,MN,27,1,0,0,43856,NA,NA,NA,NA,43856,0,1,-1
1990,MINNESOTA,MN,27,2,0,0,126367,NA,NA,NA,NA,126367,0,1,-1
1990,MINNESOTA,MN,27,3,0,0,195833,NA,NA,NA,NA,195833,0,1,-1
1990,MINNESOTA,MN,27,4,0,0,77639,NA,NA,NA,NA,77639,0,1,-1
1990,MINNESOTA,MN,27,5,0,0,53720,NA,NA,NA,NA,53720,0,1,-1
1990,MINNESOTA,MN,27,6,0,0,90138,NA,NA,NA,NA,90138,0,1,-1
1990,MINNESOTA,MN,27,7,0,0,92876,NA,NA,NA,NA,92876,0,1,-1
1990,MINNESOTA,MN,27,8,0,0,56068,NA,NA,NA,NA,56068,0,1,-1
1990,MISSISSIPPI,MS,28,1,0,43668,23650,NA,NA,NA,NA,67318,0.6486823732137021,0.35131762678629785,0.2973647464274043
1990,MISSISSIPPI,MS,28,2,0,59393,11224,NA,NA,NA,NA,70617,0.8410581021567045,0.15894189784329552,0.682116204313409
1990,MISSISSIPPI,MS,28,3,0,49162,0,NA,NA,NA,NA,49162,1,0,1
1990,MISSISSIPPI,MS,28,4,0,57137,13754,NA,NA,NA,NA,70891,0.805983834337222,0.19401616566277807,0.611967668674444
1990,MISSISSIPPI,MS,28,5,0,89926,20588,NA,NA,NA,NA,110514,0.8137068606692365,0.18629313933076352,0.627413721338473
1990,MISSOURI,MO,29,1,0,62550,40160,NA,NA,NA,NA,102710,0.6089962029013728,0.3910037970986272,0.2179924058027456
1990,MISSOURI,MO,29,2,0,94308,94260,NA,NA,NA,NA,188568,0.5001272750413643,0.4998727249586356,2.545500827287328e-4
1990,MISSOURI,MO,29,3,0,88950,67659,NA,NA,NA,NA,156609,0.5679750205926862,0.43202497940731377,0.13595004118537246
1990,MISSOURI,MO,29,4,0,105527,65095,NA,NA,NA,NA,170622,0.6184841345195813,0.3815158654804187,0.23696826903916257
1990,MISSOURI,MO,29,5,0,71890,43897,NA,NA,NA,NA,115787,0.6208814461036213,0.3791185538963787,0.24176289220724256
1990,MISSOURI,MO,29,6,0,73093,78956,NA,NA,NA,NA,152049,0.4807200310426244,0.5192799689573756,-0.03855993791475121
1990,MISSOURI,MO,29,7,0,76725,83609,NA,NA,NA,NA,160334,0.47853231379495303,0.5214676862050469,-0.042935372410093875
1990,MISSOURI,MO,29,8,0,60751,81452,NA,NA,NA,NA,142203,0.4272132092853175,0.5727867907146825,-0.14557358142936505
1990,MISSOURI,MO,29,9,0,94156,69514,NA,NA,NA,NA,163670,0.5752795258752368,0.42472047412476327,0.15055905175047352
1990,MONTANA,MT,30,1,0,100409,63837,NA,NA,NA,NA,164246,0.6113330004992511,0.3886669995007489,0.2226660009985022
1990,MONTANA,MT,30,2,0,56739,96449,NA,NA,NA,NA,153188,0.3703880199493433,0.6296119800506567,-0.2592239601013134
1990,NEBRASKA,NE,31,1,0,70587,129654,NA,NA,NA,NA,200241,0.3525102251786597,0.6474897748213403,-0.2949795496426806
1990,NEBRASKA,NE,31,2,0,111903,80845,NA,NA,NA,NA,192748,0.5805663353186544,0.4194336646813456,0.16113267063730885
1990,NEBRASKA,NE,31,3,0,94234,98607,NA,NA,NA,NA,192841,0.48866164353016217,0.5113383564698378,-0.02267671293967566
1990,NEVADA,NV,32,1,0,84650,47377,NA,NA,NA,NA,132027,0.6411567330924736,0.3588432669075265,0.28231346618494707
1990,NEVADA,NV,32,2,0,59581,103508,NA,NA,NA,NA,163089,0.3653281337183992,0.6346718662816009,-0.2693437325632017
1990,NEW HAMPSHIRE,NH,33,1,0,66176,81684,NA,NA,NA,NA,147860,0.4475585012849993,0.5524414987150007,-0.1048829974300014
1990,NEW HAMPSHIRE,NH,33,2,0,74866,67225,NA,NA,NA,NA,142091,0.5268876987282798,0.4731123012717202,0.05377539745655957
1990,NEW JERSEY,NJ,34,1,0,72415,57299,NA,NA,NA,NA,129714,0.5582666481644233,0.4417333518355767,0.11653329632884657
1990,NEW JERSEY,NJ,34,2,0,97698,0,NA,NA,NA,NA,97698,1,0,1
1990,NEW JERSEY,NJ,34,3,0,77866,73696,NA,NA,NA,NA,151562,0.5137567464140088,0.4862432535859912,0.027513492828017627
1990,NEW JERSEY,NJ,34,4,0,54961,99920,NA,NA,NA,NA,154881,0.3548595373222022,0.6451404626777978,-0.2902809253555956
1990,NEW JERSEY,NJ,34,5,0,35010,118101,NA,NA,NA,NA,153111,0.2286576405352979,0.7713423594647021,-0.5426847189294042
1990,NEW JERSEY,NJ,34,6,0,63745,58147,NA,NA,NA,NA,121892,0.5229629508089129,0.4770370491910872,0.04592590161782567
1990,NEW JERSEY,NJ,34,7,0,31099,100066,NA,NA,NA,NA,131165,0.23709831128730988,0.7629016887126902,-0.5258033774253803
1990,NEW JERSEY,NJ,34,8,0,55797,0,NA,NA,NA,NA,55797,1,0,1
1990,NEW JERSEY,NJ,34,9,0,82535,69658,NA,NA,NA,NA,152193,0.5423048366219209,0.45769516337807914,0.08460967324384172
1990,NEW JERSEY,NJ,34,10,0,42106,8954,NA,NA,NA,NA,51060,0.8246376811594203,0.1753623188405797,0.6492753623188405
1990,NEW JERSEY,NJ,34,11,0,47414,92681,NA,NA,NA,NA,140095,0.33844177165494843,0.6615582283450516,-0.3231164566901032
1990,NEW JERSEY,NJ,34,12,0,52256,107851,NA,NA,NA,NA,160107,0.3263817322165802,0.6736182677834198,-0.34723653556683964
1990,NEW JERSEY,NJ,34,13,0,67587,99688,NA,NA,NA,NA,167275,0.40404722761918993,0.59595277238081,-0.19190554476162008
1990,NEW JERSEY,NJ,34,14,0,56455,24870,NA,NA,NA,NA,81325,0.6941899784814017,0.3058100215185982,0.38837995696280353
1990,NEW MEXICO,NM,35,1,0,41306,97375,NA,NA,NA,NA,138681,0.29784902041375533,0.7021509795862447,-0.4043019591724894
1990,NEW MEXICO,NM,35,2,0,0,80677,NA,NA,NA,NA,80677,0,1,-1
1990,NEW MEXICO,NM,35,3,0,104225,35751,NA,NA,NA,NA,139976,0.7445919300451506,0.2554080699548494,0.4891838600903012
1990,NEW YORK,NY,36,1,0,72937,46380,NA,NA,NA,NA,119317,0.6112875784674439,0.38871242153255614,0.22257515693488772
1990,NEW YORK,NY,36,2,0,56722,31808,NA,NA,NA,NA,88530,0.6407093640573817,0.35929063594261834,0.2814187281147633
